wavenumber,variable,PC1,PC2,PC3,PC4,PC5
3267.03116,wn_3267.03,-0.2324824743758188,0.18528877975507693,-0.05676781125412404,-0.14272568822934661,-0.003140293730757675
3265.10257,wn_3265.1,-0.23055674561850456,0.18860695596434005,-0.05826122485950033,-0.14077436570199886,-0.003485815640396724
3263.17398,wn_3263.17,-0.2283655527633421,0.19208255703285143,-0.05975801605163074,-0.1386855271605757,-0.003808667548038174
3261.24539,wn_3261.25,-0.22600237506331083,0.19557955757223866,-0.061402931095199766,-0.13630747620335779,-0.003981227066994992
3259.3168,wn_3259.32,-0.22306305086785488,0.19937638667011706,-0.0630854415664343,-0.13454401314951844,-0.00428977270975554
3257.38821,wn_3257.39,-0.21981962712878442,0.20289858220043688,-0.06483830421662888,-0.13225795342466803,-0.004520444632542456
3255.45962,wn_3255.46,-0.2163264330444804,0.20640695872365797,-0.06684074530573282,-0.12998279793893003,-0.0044547205570405115
3253.53103,wn_3253.53,-0.2123767730186055,0.2103183137023875,-0.06884359165077779,-0.12832443168816396,-0.004416021117460662
3251.60244,wn_3251.6,-0.20825580234817445,0.21387356203312877,-0.07088482888065978,-0.12625636572029494,-0.004271500946540046
3249.67385,wn_3249.67,-0.20367728348884437,0.21749617989318396,-0.07283052321473271,-0.12516719042658583,-0.004512293572711301
3247.74526,wn_3247.75,-0.19890937344580145,0.22131565299023337,-0.07448708425799645,-0.12425563481345124,-0.005157611358390863
3245.81667,wn_3245.82,-0.19467380019393637,0.22443962361725972,-0.07617539036637734,-0.12201211843835455,-0.005613183095112324
3243.88808,wn_3243.89,-0.19143973438375833,0.22703910109037068,-0.0779083421071586,-0.1191477602772415,-0.005855483049516897
3241.95949,wn_3241.96,-0.18919993827936535,0.22946060928906048,-0.07956244332835151,-0.11692648741635814,-0.005907301193566943
3240.0309,wn_3240.03,-0.18810241830571492,0.2317251439993624,-0.08097591559011941,-0.11546641079620676,-0.005769466956040572
3238.10231,wn_3238.1,-0.1879688579734717,0.2338104453822938,-0.08213959590870575,-0.1141988919583225,-0.005734020707673526
3236.17372,wn_3236.17,-0.18840632031747354,0.23611808989003372,-0.08267363221426882,-0.11304388822061444,-0.006125415036495782
3234.24513,wn_3234.25,-0.18934885466963136,0.2381250334161859,-0.08298003118312168,-0.11061099851214398,-0.006712360030789506
3232.31654,wn_3232.32,-0.1904541964777121,0.2403548902096289,-0.0829997325820501,-0.10826209080738532,-0.007585968573331245
3230.38795,wn_3230.39,-0.19184735097316238,0.24248156998539241,-0.082949273681139,-0.10601370219976393,-0.008495063367521236
3228.45936,wn_3228.46,-0.19337170776597648,0.24454835566940117,-0.08283296008868339,-0.1040138273892822,-0.00941187070034646
3226.53077,wn_3226.53,-0.1947114980514196,0.2468001543827291,-0.08251326104879103,-0.10258477934774281,-0.010382796799854505
3224.60218,wn_3224.6,-0.19580200686350202,0.24934439695328664,-0.08218905263337224,-0.1017159928975039,-0.011501571366493891
3222.67359,wn_3222.67,-0.196680488802251,0.2516854085301827,-0.08190179185048059,-0.09995797945679445,-0.012608321812739074
3220.745,wn_3220.74,-0.1973513486703643,0.253967901680906,-0.08167064577321254,-0.09740525979503202,-0.013620768702079475
3218.81641,wn_3218.82,-0.1978799236483224,0.2560725743614563,-0.08149453725091665,-0.09499207986435373,-0.014520555401097103
3216.88782,wn_3216.89,-0.19828642882407083,0.2576828203305919,-0.08125113041006163,-0.09236260521506592,-0.015391024164037433
3214.95923,wn_3214.96,-0.19864040657412615,0.25928423844019355,-0.08103949111456467,-0.08970297291628115,-0.01617603452111762
3213.03064,wn_3213.03,-0.1985576585032474,0.261328542765625,-0.08064239789181124,-0.08852807842872361,-0.017231138063939062
3211.10205,wn_3211.1,-0.1984592096728228,0.263099873152266,-0.08032314701689254,-0.08670719264624115,-0.018249385309525815
3209.17346,wn_3209.17,-0.19815913799188437,0.2648978411453623,-0.07993694399402139,-0.08497075179383269,-0.019208414734844234
3207.24487,wn_3207.24,-0.19766735231203736,0.2664824494930302,-0.07972943079807804,-0.08342247010049615,-0.020072332198909117
3205.31628,wn_3205.32,-0.19702770925475704,0.26789141099969516,-0.07944968657508246,-0.0821618459609294,-0.020908476723669862
3203.38769,wn_3203.39,-0.19615185264018384,0.26942111136077274,-0.07900711932756133,-0.08168753616907937,-0.021845602753594668
3201.4591,wn_3201.46,-0.19536213055025747,0.27067859703270764,-0.07865870311067165,-0.08043948319441314,-0.0228027860254847
3199.53051,wn_3199.53,-0.19454491791555872,0.2718292803462582,-0.07843976560721062,-0.0789917131044431,-0.02373308512161286
3197.60192,wn_3197.6,-0.19389981059888406,0.27264047431578287,-0.07847161296198323,-0.07680208883529262,-0.024577200711806933
3195.67333,wn_3195.67,-0.19319987549524986,0.2737363582369013,-0.07855820097225599,-0.07483940776867291,-0.025353764984883644
3193.74474,wn_3193.74,-0.19250351993835635,0.2747978764252787,-0.07865732074690346,-0.07293451226686684,-0.026100337119065203
3191.81615,wn_3191.82,-0.19168669909377425,0.27574471958136204,-0.07871935965860002,-0.07108456628785785,-0.02688555611887573
3189.88756,wn_3189.89,-0.19074707329849772,0.2771533610622836,-0.0788580175882755,-0.06959352967534191,-0.027769868986489973
3187.95897,wn_3187.96,-0.18966187894206116,0.27904999761779437,-0.07897778752815124,-0.06790484349269181,-0.02877442907466585
3186.03038,wn_3186.03,-0.18837433922664276,0.2810533976777454,-0.07904367729501656,-0.06630426034307041,-0.029944069447648533
3184.10179,wn_3184.1,-0.18700268452499524,0.283038405097529,-0.0792913773508713,-0.06396026591874346,-0.031061191989819645
