wavenumber,mean_absorbance,sd_absorbance,cv_percent
3256.17638,0.036872499999999996,3.2159757461772213e-4,0.8721881473122848
3254.24622,0.036637499999999996,3.2263240176192115e-4,0.8806070331270451
3252.31606,0.0364125,3.282656444609053e-4,0.9015191059688441
3250.3859,0.036175,3.2460232079679815e-4,0.897311183957977
3248.45575,0.03594,3.189566323708196e-4,0.8874697617440724
3246.52559,0.0357125,3.170042060709376e-4,0.8876561598066157
3244.59543,0.03548,3.140063693621509e-4,0.8850235889575845
3242.66527,0.035252500000000006,3.170042060709397e-4,0.8992389364468891
3240.73511,0.0350375,3.1595094555959195e-4,0.9017508257141403
3238.80496,0.0348175,3.1138133106102154e-4,0.894324207829458
3236.8748,0.034605000000000004,3.0204856121712173e-4,0.8728465863809325
3234.94464,0.034405,2.9535289626704753e-4,0.8584592247261955
3233.01448,0.0342,3.0099833886584865e-4,0.8801121019469258
3231.08432,0.0340075,2.9803523281652543e-4,0.8763808948512105
3229.15417,0.0338125,3.054368456271545e-4,0.9033252366052628
3227.22401,0.03364,2.96085573216033e-4,0.8801592545066379
3225.29385,0.03347,2.964231210055411e-4,0.8856382462071739
3223.36369,0.03331,3.0099833886584795e-4,0.9036275558866645
3221.43353,0.03315,2.943920288775972e-4,0.8880604189369448
3219.50338,0.032992499999999994,2.927313899578699e-4,0.8872664695244978
3217.57322,0.0328425,2.927313899578713e-4,0.8913188397895146
3215.64306,0.0327025,2.860506948077558e-4,0.8747058934569399
3213.7129,0.032555,2.875760768909669e-4,0.8833545596405066
3211.78275,0.0324125,2.9113284482059785e-4,0.8982116307615823
3209.85259,0.032279999999999996,2.8809720581775907e-4,0.8924944418146192
3207.92243,0.03214,2.83078316607498e-4,0.8807663864576789
3205.99227,0.0319975,2.804014978561985e-4,0.8763231435462098
3204.06211,0.03186,2.8343135559308314e-4,0.8896150520812403
3202.13196,0.031712500000000005,2.811138559374141e-4,0.8864449536851843
3200.2018,0.0315575,2.819426655663647e-4,0.8934252255925363
3198.27164,0.03141,2.8483913588784416e-4,0.906842202762955
3196.34148,0.031247499999999997,2.81942665566364e-4,0.9022887129093976
3194.41132,0.031085,2.840774542268357e-4,0.9138731035124198
3192.48117,0.030924999999999998,2.8454642269174125e-4,0.9201177774995676
3190.55101,0.030765,2.777888886666753e-4,0.9029380421474901
3188.62085,0.030605,2.645121295265433e-4,0.8642775021288787
3186.69069,0.0304475,2.672545602978548e-4,0.8777553503501266
3184.76053,0.0302875,2.737851956065803e-4,0.9039544221430634
3182.83038,0.03014,2.70185121722126e-4,0.896433715070093
3180.90022,0.0299875,2.675038940526538e-4,0.892051334898387
3178.97006,0.0298375,2.6247222075234265e-4,0.8796722941008551
3177.0399,0.0296825,2.6323310328806764e-4,0.8868292875871898
3175.10975,0.029545000000000002,2.5955089417427737e-4,0.8784934647970125
3173.17959,0.029415,2.548855952514121e-4,0.8665157071270172
3171.24943,0.029275000000000002,2.6159765544311316e-4,0.8935872090285675
3169.31927,0.0291475,2.5837634050611765e-4,0.8864442593914321
3167.38911,0.0290225,2.634862425251086e-4,0.9078688690674773
3165.45896,0.0288875,2.6285293733695816e-4,0.9099192984403571
3163.5288,0.0287575,2.576011128340351e-4,0.8957701915466751
3161.59864,0.028635,2.4826061575153937e-4,0.8669831176935198
3159.66848,0.0284975,2.530316185776e-4,0.8879081273009912
3157.73832,0.0283675,2.471672847823239e-4,0.8713044321224073
3155.80817,0.0282175,2.4540782383616086e-4,0.8697008021127346
