wavenumber,variable,PC2,PC4,PC5
3199.53051,wn_3199.53,0.2718292803462582,-0.0789917131044431,-0.02373308512161286
3197.60192,wn_3197.6,0.27264047431578287,-0.07680208883529262,-0.024577200711806933
3195.67333,wn_3195.67,0.2737363582369013,-0.07483940776867291,-0.025353764984883644
3193.74474,wn_3193.74,0.2747978764252787,-0.07293451226686684,-0.026100337119065203
3191.81615,wn_3191.82,0.27574471958136204,-0.07108456628785785,-0.02688555611887573
3189.88756,wn_3189.89,0.2771533610622836,-0.06959352967534191,-0.027769868986489973
3187.95897,wn_3187.96,0.27904999761779437,-0.06790484349269181,-0.02877442907466585
3186.03038,wn_3186.03,0.2810533976777454,-0.06630426034307041,-0.029944069447648533
3184.10179,wn_3184.1,0.283038405097529,-0.06396026591874346,-0.031061191989819645
3182.1732,wn_3182.17,0.285223887505704,-0.0614451629128807,-0.03215241853276254
3180.24461,wn_3180.24,0.28763196335747726,-0.05953419723450889,-0.03330361405085659
3178.31602,wn_3178.32,0.29018008536373935,-0.057693787001838776,-0.03452147436146245
3176.38743,wn_3176.39,0.2927285546565953,-0.05573023571098019,-0.03571222015748062
3174.45885,wn_3174.46,0.29574855535066696,-0.05419709851194712,-0.03708752577340374
3172.53026,wn_3172.53,0.29876730998342405,-0.0529259272044575,-0.03865365179068469
3170.60167,wn_3170.6,0.30139432690298795,-0.05107560760143047,-0.040185546502395655
3168.67308,wn_3168.67,0.30389442314369086,-0.04923603940096858,-0.04155226859757691
3166.74449,wn_3166.74,0.3058467726057541,-0.04682042292397947,-0.04273907733790974
3164.8159,wn_3164.82,0.3077448086379231,-0.04416638845673841,-0.043722127128009644
3162.88731,wn_3162.89,0.3101192007548215,-0.04199199973360667,-0.04475587419565298
3160.95872,wn_3160.96,0.3126346158827926,-0.03985735362575174,-0.04571109165967269
3159.03013,wn_3159.03,0.3153389153356301,-0.038398222666531,-0.04663140069436478
3157.10154,wn_3157.1,0.31802865155800425,-0.03688982363241934,-0.04753659845630473
3155.17295,wn_3155.17,0.3201391643111643,-0.0342377745069664,-0.048301535323843285
3153.24436,wn_3153.24,0.3225687843149198,-0.03239456597456626,-0.04917923212920383
3151.31577,wn_3151.32,0.32474723610754674,-0.030068312574717506,-0.04993801841257344
3149.38718,wn_3149.39,0.3266581372043607,-0.02807283983572313,-0.050609824233529166
3147.45859,wn_3147.46,0.32867677603334494,-0.026920899071407937,-0.05135222004446045
3145.53,wn_3145.53,0.33062446444531196,-0.025797961643997478,-0.052156424872087395
3143.60141,wn_3143.6,0.33227507784772903,-0.024075678085231714,-0.0528714318448124
3141.67282,wn_3141.67,0.3341555288660638,-0.023160549014980245,-0.05357362494717986
3139.74423,wn_3139.74,0.33546369854567215,-0.021881029488323555,-0.0541984764558189
