variable,wavenumber,VIP_comp1,VIP_comp2,VIP_comp3,VIP_max
wn_1216,1216,1.5325321606230469,1.240962159584362,1.2101558142780453,1.5325321606230469
wn_1077.03,1077.03,1.5294056445035487,1.3074750343250499,1.2329234351547762,1.5294056445035487
wn_1239.16,1239.16,1.5277058076795813,1.2403574413756495,1.2070945204942485,1.5277058076795813
wn_1214.07,1214.07,1.5180541958341993,1.2346398417791444,1.20189275225879,1.5180541958341993
wn_1078.96,1078.96,1.517050860866119,1.2988134803146414,1.2248545694946884,1.517050860866119
wn_1241.09,1241.09,1.5126002346585818,1.2338375014253498,1.1993231393750985,1.5126002346585818
wn_1080.89,1080.89,1.5044739426089249,1.2911622340200064,1.2177618741697864,1.5044739426089249
wn_1212.14,1212.14,1.5009185796371984,1.2277252573019697,1.1926838580727674,1.5009185796371984
wn_1243.02,1243.02,1.4950197746249365,1.226594208135749,1.1908298095712426,1.4950197746249365
wn_1082.82,1082.82,1.4921252061738146,1.2852021773420395,1.2122358148994756,1.4921252061738146
wn_884.01,884.01,1.4895906727393255,1.1991889601983083,1.1320467299265025,1.4895906727393255
wn_1210.21,1210.21,1.4815581148123156,1.2205452685740723,1.1829336005217077,1.4815581148123156
wn_1084.75,1084.75,1.4802922762586654,1.2813811293253439,1.2086573102022617,1.4802922762586654
wn_1244.95,1244.95,1.4752875712801652,1.2188601993315435,1.1818518929730668,1.4752875712801652
wn_1086.68,1086.68,1.4689827605417027,1.2797455160226194,1.2070592160735907,1.4689827605417027
wn_1208.28,1208.28,1.4607552138138606,1.2134821637191433,1.1731388378885723,1.4607552138138606
wn_1088.61,1088.61,1.4579276002181272,1.2799195070522875,1.2071124287101944,1.4579276002181272
wn_1246.88,1246.88,1.4538592681973985,1.2108729357438834,1.172650396126779,1.4538592681973985
wn_1090.54,1090.54,1.4467176846846288,1.2812613806363242,1.2082594364334838,1.4467176846846288
wn_1206.35,1206.35,1.4395296844646606,1.2068960989117035,1.1637961794947167,1.4395296844646606
wn_1092.47,1092.47,1.4349969841064907,1.283095595516233,1.2099121156348398,1.4349969841064907
wn_1248.81,1248.81,1.431241241320613,1.2028354442687823,1.1634602945348866,1.431241241320613
wn_1094.4,1094.4,1.4225706219709182,1.2848710370759349,1.2115860206698086,1.4225706219709182
wn_1204.42,1204.42,1.4188566916385559,1.2010146940210333,1.1552681500826292,1.4188566916385559
wn_1096.33,1096.33,1.409357189833289,1.2861897616957456,1.2129207901712866,1.409357189833289
wn_1250.74,1250.74,1.4079247572276776,1.1949103430082668,1.154460821714105,1.4079247572276776
wn_1202.49,1202.49,1.3993429936556578,1.1958482711051936,1.1476736416997053,1.3993429936556578
wn_1098.26,1098.26,1.3952414302275333,1.2867603465729673,1.2136359044956957,1.3952414302275333
wn_882.08,882.08,1.391434246690985,1.1190929661455247,1.0554278979496714,1.391434246690985
wn_1252.67,1252.67,1.3843456566942258,1.1872207353431883,1.1457749604609262,1.3843456566942258
wn_1200.56,1200.56,1.3810489646094979,1.191188019804483,1.1408714438721688,1.3810489646094979
wn_1100.19,1100.19,1.3799390776251559,1.286336868309676,1.2134780324311703,1.3799390776251559
wn_1588.52,1588.52,1.373917501376689,1.1029112816741706,1.0417246724785616,1.373917501376689
wn_1586.59,1586.59,1.3730938130845345,1.104023702330635,1.0420265900538668,1.3730938130845345
wn_1590.45,1590.45,1.3718972862024028,1.101212145414951,1.0406397552189919,1.3718972862024028
wn_1592.38,1592.38,1.367770851319025,1.0993669150213985,1.0390660434525285,1.367770851319025
wn_1584.66,1584.66,1.367585845144286,1.1041661352238297,1.0414528667971192,1.367585845144286
wn_1198.63,1198.63,1.363484338189272,1.186667523307393,1.134521589666128,1.363484338189272
wn_1102.12,1102.12,1.3629768575133363,1.2846820752822794,1.212193538983412,1.3629768575133363
wn_1594.31,1594.31,1.3609142757173893,1.097568501448083,1.0371824769554663,1.3609142757173893
wn_1254.6,1254.6,1.3608764332872891,1.179855557442934,1.1374863152866752,1.3608764332872891
wn_1582.73,1582.73,1.3547398842701885,1.1037251544310822,1.0407742645329654,1.3547398842701885
wn_1596.24,1596.24,1.3497141710740244,1.0961293514537203,1.035331523349013,1.3497141710740244
wn_1196.7,1196.7,1.3456987083023733,1.1818314721380476,1.1281686680675156,1.3456987083023733
wn_1104.05,1104.05,1.3437646303945523,1.2815625658160281,1.2095305581242477,1.3437646303945523
wn_1256.53,1256.53,1.3378897065512354,1.172910919153906,1.129678398011237,1.3378897065512354
wn_1598.17,1598.17,1.3318370371979877,1.0959303108486724,1.0344389417738808,1.3318370371979877
wn_1580.8,1580.8,1.3296669649945982,1.103747805621933,1.0416730236923388,1.3296669649945982
wn_1194.77,1194.77,1.326422817947203,1.176194410271493,1.1213166278800055,1.326422817947203
wn_1499.73,1499.73,0.2210969066952554,1.029580598543837,1.3250004490198946,1.3250004490198946
wn_1105.98,1105.98,1.3216445004981368,1.2767514700741887,1.2052461677411088,1.3216445004981368
wn_1497.8,1497.8,0.04037322647275786,0.9212374863616776,1.3184729421668517,1.3184729421668517
wn_1258.46,1258.46,1.3158429345272178,1.1665336003213158,1.1224715750967282,1.3158429345272178
wn_1501.66,1501.66,0.3989542671514596,1.0999547676345307,1.3148872982030926,1.3148872982030926
wn_1600.1,1600.1,1.3045506303608232,1.09864743364436,1.036298089496635,1.3045506303608232
wn_1192.84,1192.84,1.3042134220261412,1.1692920125691932,1.1134825785948734,1.3042134220261412
wn_1503.59,1503.59,0.5179588127717046,1.1425404045059913,1.3002390570479823,1.3002390570479823
wn_1107.91,1107.91,1.2958585586407132,1.270006420036507,1.1990877628907142,1.2958585586407132
wn_1260.39,1260.39,1.2952426996182456,1.1608881953960257,1.1160008480173615,1.2952426996182456
wn_1505.52,1505.52,0.5974348515710464,1.1683370267935747,1.2861355957683922,1.2861355957683922
wn_1578.87,1578.87,1.2832010740308724,1.1057085218134224,1.0467178259161811,1.2832010740308724
wn_1495.87,1495.87,0.38610548960003993,0.7973023217548095,1.2785218015625208,1.2785218015625208
wn_1190.91,1190.91,1.2775404320958885,1.1607169120998255,1.1042302524401157,1.2775404320958885
wn_880.15,880.15,1.2765578556005526,1.0255062834080109,0.97111275941258,1.2765578556005526
wn_1262.32,1262.32,1.276502849742445,1.1560703378860897,1.1103524786030685,1.276502849742445
wn_2989.81,2989.81,1.2751535238644094,1.0203072027551117,1.008474394924023,1.2751535238644094
wn_2991.74,2991.74,1.274951924895709,1.020209908020258,1.0121887814054789,1.274951924895709
wn_1507.45,1507.45,0.6477006199135374,1.1845916399967629,1.2746493327564692,1.2746493327564692
wn_2987.88,2987.88,1.2735216518413957,1.0189455808714067,1.0037767529008763,1.2735216518413957
wn_2993.67,2993.67,1.2730156778052597,1.018708477269867,1.0149687966620258,1.2730156778052597
wn_2985.95,2985.95,1.2699733694671032,1.016085291063054,0.9980251915387655,1.2699733694671032
wn_2995.61,2995.61,1.269348280343269,1.0157885091720054,1.0167633811083383,1.269348280343269
wn_1509.38,1509.38,0.6775591969379631,1.1952696637758509,1.2656370917245408,1.2656370917245408
