cluster,wavenumber,median_absorbance,q25_absorbance,q75_absorbance,mean_absorbance,n
1,3227.2240085601807,0.03226039931178093,0.030649341642856598,0.04026653431355953,0.0356770404924949,15
1,3225.293850660324,0.03215215727686882,0.030516242608428,0.040059829130768776,0.03551678831378619,15
1,3223.3636927604675,0.032046493142843246,0.03038669377565384,0.039857445284724236,0.03536048407355944,15
1,3221.433534860611,0.031944435089826584,0.03026141133159399,0.03966040350496769,0.03520872580508391,15
1,3219.5033769607544,0.03184748440980911,0.030141163617372513,0.0394697654992342,0.03506224888066451,15
1,3217.573219060898,0.03175627067685127,0.030025496147572994,0.039285242557525635,0.03492051896949609,15
1,3215.6430611610413,0.031670644879341125,0.029913214035332203,0.03910575993359089,0.03478235018750032,15
1,3213.7129032611847,0.03159026429057121,0.029803712852299213,0.03893073834478855,0.034647251665592196,15
1,3211.782745361328,0.03151428699493408,0.029697196558117867,0.03876024857163429,0.034515372663736346,15
1,3209.8525874614716,0.0314406082034111,0.02958423364907503,0.038593826815485954,0.034386184563239414,15
1,3207.922429561615,0.03136611357331276,0.02946018986403942,0.03842918016016483,0.034257563576102254,15
1,3205.9922716617584,0.03128756955265999,0.029329337179660797,0.03826224058866501,0.03412628459433715,15
1,3204.062113761902,0.03120248019695282,0.029193945229053497,0.03808894008398056,0.03398950571815173,15
1,3202.1319558620453,0.031109657138586044,0.029052198864519596,0.0379071980714798,0.033845987915992734,15
1,3200.2017979621887,0.031009674072265625,0.02890428900718689,0.037717631086707115,0.03369640707969666,15
1,3198.271640062332,0.030904674902558327,0.02875205408781767,0.03752291761338711,0.03354280330240726,15
1,3196.3414821624756,0.030797075480222702,0.0285976380109787,0.03732606582343578,0.033387138446172075,15
1,3194.411324262619,0.030687792226672173,0.028442326933145523,0.037128427997231483,0.03322990673283736,15
1,3192.4811663627625,0.030575962737202644,0.02828642912209034,0.036929331719875336,0.03307024004558722,15
1,3190.551008462906,0.030460434034466743,0.028129754588007927,0.03672757372260094,0.03290721376736959,15
1,3188.6208505630493,0.03034103475511074,0.0279722698032856,0.036522889509797096,0.03274100311100483,15
1,3186.6906926631927,0.030218493193387985,0.027814735658466816,0.03631625324487686,0.032573059946298596,15
1,3184.760534763336,0.03009386919438839,0.02765853889286518,0.03610910847783089,0.03240513478716214,15
1,3182.8303768634796,0.029968060553073883,0.027504626661539078,0.03590209782123566,0.03223790675401687,15
1,3180.900218963623,0.0298418290913105,0.027353279292583466,0.03569505177438259,0.03207107273240884,15
1,3178.9700610637665,0.029716575518250465,0.027222546748816967,0.03548869676887989,0.03190498799085617,15
1,3177.03990316391,0.02959449589252472,0.027112722396850586,0.03528497368097305,0.0317410621792078,15
1,3175.1097452640533,0.029477303847670555,0.02700973115861416,0.03508487343788147,0.03158008543153604,15
1,3173.179587364197,0.02936500310897827,0.02691256534308195,0.03488728776574135,0.03142130735019843,15
1,3171.24942946434,0.029256058856844902,0.026819237507879734,0.03469054959714413,0.0312635388225317,15
1,3169.3192715644836,0.029148774221539497,0.026728441007435322,0.034494226798415184,0.031106480707724888,15
1,3167.389113664627,0.029042115435004234,0.0266397874802351,0.0342989694327116,0.03095062052210172,15
