sample_1,sample_2,baseline_same_cluster,consensus
20,22,FALSE,0.5557275541795665
21,22,FALSE,0
1,23,TRUE,0.6146496815286624
10,23,TRUE,0.9001610305958132
11,23,TRUE,0.6272285251215559
12,23,TRUE,0.6557632398753894
13,23,TRUE,0.842948717948718
14,23,TRUE,0.6298076923076923
15,23,TRUE,0.64171974522293
16,23,TRUE,0.9858267716535433
17,23,TRUE,0.6006389776357828
18,23,FALSE,0.2576
19,23,FALSE,0.14403973509933773
2,23,TRUE,0.8933764135702746
20,23,FALSE,0.3854660347551343
21,23,FALSE,0
22,23,TRUE,0.9165354330708662
1,24,FALSE,0
10,24,FALSE,0.495253164556962
11,24,FALSE,0.0015698587127158557
12,24,FALSE,0.0030911901081916537
13,24,FALSE,0.34913112164297
14,24,FALSE,0.0015748031496062992
15,24,FALSE,0
16,24,FALSE,0.41347626339969373
17,24,FALSE,0
18,24,TRUE,1
19,24,FALSE,0.09819967266775777
2,24,FALSE,0.4477848101265823
20,24,TRUE,0.9738863287250384
21,24,FALSE,0
22,24,FALSE,0.41001564945226915
23,24,FALSE,0.2507987220447284
1,25,FALSE,0
10,25,FALSE,0.07532051282051282
11,25,FALSE,0
12,25,FALSE,0
13,25,FALSE,0.04012841091492777
14,25,FALSE,0
15,25,FALSE,0
16,25,FALSE,0.07266982622432859
17,25,FALSE,0
18,25,FALSE,0.15544871794871795
19,25,TRUE,1
2,25,FALSE,0.060064935064935064
20,25,FALSE,0.07936507936507936
21,25,TRUE,0.9048387096774193
22,25,FALSE,0.0608
23,25,FALSE,0.052545155993431854
24,25,FALSE,0.02926829268292683
1,3,FALSE,0
10,3,FALSE,0
11,3,FALSE,0
12,3,FALSE,0
13,3,FALSE,0
14,3,FALSE,0
15,3,FALSE,0
16,3,FALSE,0.0015527950310559005
17,3,FALSE,0
18,3,FALSE,0
19,3,TRUE,0.7679127725856698
2,3,FALSE,0
20,3,FALSE,0
21,3,TRUE,0.9968701095461658
22,3,FALSE,0
23,3,FALSE,0.0015748031496062992
24,3,FALSE,0
25,3,TRUE,0.8621236133122029
1,4,TRUE,1
10,4,TRUE,0.40688575899843504
11,4,TRUE,1
12,4,TRUE,0.9968652037617555
13,4,TRUE,0.5846394984326019
14,4,TRUE,0.9984076433121019
15,4,TRUE,1
16,4,TRUE,0.4782608695652174
17,4,TRUE,1
18,4,FALSE,0
19,4,FALSE,0.016
2,4,TRUE,0.46485623003194887
20,4,FALSE,0.030911901081916538
21,4,FALSE,0
22,4,TRUE,0.4849921011058452
23,4,TRUE,0.6440944881889764
24,4,FALSE,0.0015772870662460567
25,4,FALSE,0
3,4,FALSE,0
1,5,FALSE,0
10,5,FALSE,0
11,5,FALSE,0
12,5,FALSE,0
13,5,FALSE,0
14,5,FALSE,0
15,5,FALSE,0
16,5,FALSE,0.001579778830963665
17,5,FALSE,0
18,5,FALSE,0.016051364365971106
19,5,TRUE,0.8204283360790774
2,5,FALSE,0
20,5,FALSE,0
21,5,TRUE,1
22,5,FALSE,0
23,5,FALSE,0.001597444089456869
24,5,FALSE,0
25,5,TRUE,0.9018003273322422
3,5,TRUE,1
4,5,FALSE,0
1,6,TRUE,0.9937106918238994
10,6,TRUE,0.437403400309119
11,6,TRUE,0.9952904238618524
12,6,TRUE,0.9953271028037384
13,6,TRUE,0.615625
14,6,TRUE,1
15,6,TRUE,0.9938080495356038
16,6,TRUE,0.5062111801242236
17,6,TRUE,0.9968847352024922
18,6,FALSE,0.003129890453834116
